choice,RT,p
-1,1040,0
-1,1390,0
1,510,0
-1,530,0
-1,400,0
1,970,0
-1,1630,0
1,5480,0
1,470,0
-1,960,0
1,550,0
1,640,0
1,890,0
-1,760,0
1,890,0
-1,710,0
1,1380,0
1,2040,0
-1,290,0
-1,1220,0
1,510,0
-1,1510,0
1,770,0
1,970,0
-1,640,0
-1,2310,0
-1,690,0
1,880,0
1,550,0
1,1850,0
-1,2000,0
-1,2840,0
-1,1860,0
1,640,0
1,1430,0
-1,3360,0
1,440,0
1,390,0
1,780,0
-1,750,0
-1,520,0
-1,4590,0
1,490,0
-1,1730,0
-1,440,0
-1,400,0
-1,1540,0
1,1300,0
-1,1020,0
-1,1080,0
1,430,0
1,3950,0
1,2480,0
1,210,0
1,1830,0
1,220,0
1,1680,0
-1,880,0
1,910,0
-1,2350,0
1,910,0
1,1230,0
1,1030,0
1,430,0
1,670,0
1,880,0
1,2510,0
-1,850,0
1,150,0
1,640,0
-1,1610,0
1,600,0
-1,690,0
-1,3880,0
1,450,0
1,1280,0
-1,1060,0
-1,1960,0
-1,790,0
-1,850,0
-1,610,0
1,1560,0
1,280,0
1,1180,0
1,770,0
1,590,0
1,490,0
-1,840,0
1,2100,0
1,800,0
1,3310,0
1,1040,0
1,680,0
1,390,0
1,330,0
-1,1960,0
1,2230,0
-1,550,0
1,1470,0
-1,960,0
-1,570,0
-1,2200,0
-1,310,0
1,1890,0
1,1130,0
-1,710,0
-1,2420,0
-1,480,0
1,830,0
-1,480,0
-1,330,0
-1,760,0
1,1430,0
-1,1280,0
-1,460,0
1,820,0
1,1260,0
-1,620,0
-1,1190,0
-1,700,0
1,510,0
1,1390,0
1,790,0
-1,1290,0
1,760,0
1,610,0
1,280,0
1,300,0
-1,2000,0
1,2460,0
-1,1970,0
1,570,0
-1,1380,0
1,420,0
-1,580,0
-1,1690,0
1,1650,0
1,380,0
1,740,0
1,570,0
-1,640,0
-1,1710,0
1,720,0
1,760,0
1,4350,0
-1,3130,0
1,630,0
1,1350,0
-1,2980,0
1,610,0
-1,510,0
-1,1260,0
-1,440,0
-1,340,0
1,2090,0
-1,1340,0
1,1360,0
1,3910,0
1,990,0
-1,1040,0
1,810,0
-1,1880,0
-1,1500,0
-1,1380,0
1,2100,0
-1,2020,0
-1,1220,0
-1,600,0
-1,830,0
-1,460,0
-1,370,0
-1,490,0
-1,230,0
1,970,0
1,870,0
-1,6030,0
-1,980,0
-1,500,0
-1,930,0
1,3070,0
-1,1210,0
-1,690,0
-1,2880,0
1,1890,0
-1,830,0
1,350,0
1,1400,0
1,950,0
-1,1170,0
1,320,0
1,990,0
1,570,0
1,1370,0
1,880,0
1,920,0
1,420,0
1,2510,0
1,870,0
-1,340,0
-1,570,0
1,1200,0
1,1030,0
-1,6510,0
1,1590,0
1,810,0
1,1160,0
1,350,0
-1,790,0
-1,830,0
1,870,0
1,1140,0
1,3920,0
1,890,0
-1,800,0
-1,3450,0
-1,400,0
1,820,0
1,510,0
1,1970,0
1,1090,0
-1,260,0
1,870,0
1,790,0
1,350,0
-1,3760,0
-1,1940,0
-1,1000,0
1,1370,0
1,800,0
1,1670,0
1,380,0
1,930,0
1,1050,0
-1,190,0
1,620,0
1,1010,0
1,1200,0
-1,2660,0
1,430,0
1,830,0
1,740,0
1,970,0
1,670,0
1,2020,0
-1,3810,0
1,1140,0
1,610,0
1,640,0
-1,810,0
1,550,0
-1,620,0
1,580,0
-1,370,0
-1,1560,0
-1,480,0
-1,860,0
-1,440,0
-1,1290,0
1,850,0
1,2550,0
1,1310,0
1,2370,0
1,540,0
-1,170,0
1,500,0
-1,490,0
-1,2770,0
-1,1470,0
-1,430,0
-1,1320,0
-1,1780,0
-1,630,0
-1,990,0
-1,1320,0
1,320,0
1,1980,0
1,970,0
-1,520,0
-1,350,0
-1,1530,0
1,1190,0
-1,940,0
1,480,0
-1,620,0
1,1620,0
1,950,0
1,2590,0
-1,830,0
-1,210,0
-1,2150,0
-1,750,0
1,2390,0
-1,2580,0
1,520,0
1,1260,0
1,1090,0
1,710,0
1,1060,0
-1,400,0
-1,740,0
-1,590,0
-1,330,0
1,770,0
1,780,0
-1,1410,0
-1,580,0
1,1820,0
1,870,0
1,540,0
-1,1010,0
1,700,0
-1,1220,0
-1,4810,0
1,1960,0
1,560,0
-1,9510,0
1,730,0
1,2110,0
1,600,0
-1,610,0
1,480,0
1,260,0
-1,810,0
1,550,0
1,2110,0
1,770,0
1,550,0
1,660,0
1,1000,0
-1,1400,0
-1,920,0
-1,1080,0
-1,510,0
-1,720,0
1,630,0
-1,1500,0
-1,1240,0
1,4770,0
1,470,0
-1,2430,0
1,810,0
1,630,0
-1,300,0
1,680,0
1,4240,0
1,580,0
1,480,0
1,370,0
1,680,0
-1,480,0
1,690,0
-1,3460,0
1,430,0
-1,1030,0
-1,280,0
-1,640,0
-1,5460,0
-1,1920,0
-1,3860,0
1,1010,0
-1,5100,0
-1,620,0
-1,1910,0
1,970,0
-1,840,0
1,2350,0
1,370,0
1,2330,0
-1,2070,0
-1,920,0
1,740,0
1,620,0
1,4740,0
1,1830,0
1,2900,0
-1,1800,0
1,1030,0
-1,490,0
1,620,0
1,1210,0
-1,910,0
1,970,0
-1,920,0
-1,960,0
-1,3870,0
1,1150,0
1,1140,0
1,2040,0
1,540,0
-1,1240,0
1,3080,0
-1,980,0
-1,1440,0
1,570,0
1,290,0
1,2700,0
-1,390,0
-1,2400,0
1,390,0
1,1310,0
-1,560,0
1,510,0
-1,450,0
-1,2060,0
-1,810,0
-1,730,0
1,830,0
1,570,0
-1,360,0
-1,940,0
-1,1840,0
1,600,0
1,410,0
1,660,0
-1,770,0
1,1210,0
1,990,0
1,3050,0
1,1950,0
1,3870,0
1,2630,0
1,2310,0
-1,940,0
1,710,0
1,1290,0
-1,5440,0
-1,830,0
1,1500,0
-1,360,0
-1,570,0
-1,6870,0
-1,1110,0
-1,2350,0
-1,660,0
1,1970,0
-1,470,0
-1,870,0
1,460,0
-1,340,0
1,540,0
1,440,0
1,320,0
1,1780,0
1,970,0
-1,1760,0
1,1140,0
1,1840,0
1,380,0
1,990,0
1,2400,0
-1,1470,0
1,2000,0
-1,1080,0
1,1170,0
-1,320,0
-1,980,0
1,490,0
1,800,0
-1,940,0
1,2780,0
-1,1080,0
-1,1480,0
1,1240,0
1,340,0
-1,960,0
-1,810,0
1,580,0
1,460,0
-1,4270,0
1,1160,0
-1,1660,0
1,320,0
1,500,0
-1,1430,0
1,1510,0
-1,1050,0
-1,3350,0
-1,1790,0
-1,2460,0
1,480,0
1,700,0
1,850,0
1,1200,0
-1,330,0
-1,1310,0
1,400,0
1,880,0
-1,1260,0
-1,510,0
-1,920,0
-1,2870,0
-1,460,0
1,2260,0
-1,1890,0
1,600,0
-1,1450,0
-1,920,0
-1,1400,0
1,810,0
-1,580,0
1,530,0
1,5360,0
1,1140,0
-1,620,0
-1,710,0
-1,2250,0
1,1180,0
-1,1280,0
1,3610,0
-1,2560,0
1,510,0
-1,370,0
1,2420,0
1,850,0
1,700,0
1,560,0
1,470,0
-1,1560,0
-1,200,0
1,670,0
1,1200,0
-1,2620,0
1,840,0
-1,1290,0
1,540,0
-1,460,0
1,1140,0
1,2380,0
1,690,0
1,660,0
1,700,0
-1,430,0
-1,2320,0
1,800,0
-1,680,0
1,920,0
1,2730,0
-1,470,0
1,1180,0
1,690,0
-1,370,0
-1,320,0
1,1200,0
1,1400,0
1,380,0
-1,1710,0
-1,550,0
-1,1110,0
1,1220,0
-1,1680,0
-1,910,0
1,710,0
-1,920,0
1,1230,0
1,3160,0
1,1870,0
-1,660,0
1,560,0
-1,620,0
-1,720,0
-1,5700,0
1,1360,0
-1,770,0
-1,390,0
1,320,0
1,450,0
1,190,0
1,2300,0
1,870,0
-1,670,0
1,1500,0
-1,1910,0
1,370,0
1,910,0
1,3390,0
-1,1110,0
1,790,0
1,1220,0
-1,6090,0
1,1750,0
-1,350,0
1,990,0
-1,950,0
-1,450,0
-1,450,0
1,1120,0
1,640,0
1,720,0
-1,580,0
-1,1970,0
1,910,0
-1,540,0
1,1290,0
-1,390,0
1,1240,0
-1,2830,0
-1,980,0
-1,1010,0
1,5150,0
-1,1470,0
-1,1870,0
1,1840,0
-1,1770,0
-1,2480,0
1,560,0
1,860,0
1,640,0
1,2000,0
1,470,0
-1,2490,0
1,1300,0
-1,400,0
-1,1090,0
1,980,0
-1,370,0
1,2140,0
1,1180,0
-1,1750,0
1,1320,0
-1,260,0
-1,1070,0
-1,230,0
-1,1080,0
1,470,0
1,2050,0
-1,1360,0
1,920,0
-1,1100,0
1,1350,0
1,640,0
1,640,0
1,590,0
-1,440,0
1,230,0
-1,1120,0
-1,2810,0
-1,890,0
1,940,0
-1,820,0
-1,390,0
1,2050,0
-1,790,0
-1,1320,0
1,1600,0
-1,630,0
-1,1770,0
-1,570,0
-1,5260,0
1,990,0
-1,460,0
-1,1980,0
1,1340,0
1,3010,0
-1,750,0
-1,3280,0
1,530,0
-1,740,0
1,1620,0
-1,490,0
1,4090,0
1,1060,0
-1,1660,0
1,500,0
1,1090,0
-1,3110,0
-1,3570,0
1,690,0
-1,370,0
1,1000,0
1,850,0
-1,910,0
1,490,0
-1,730,0
-1,550,0
1,870,0
1,1380,0
1,3970,0
1,340,0
-1,430,0
1,640,0
1,2240,0
1,1070,0
1,460,0
1,1370,0
1,1130,0
-1,810,0
-1,780,0
-1,680,0
-1,710,0
1,2590,0
1,1110,0
-1,780,0
1,560,0
1,310,0
-1,1740,0
-1,970,0
-1,1010,0
1,570,0
-1,350,0
-1,940,0
1,1890,0
-1,4960,0
-1,6960,0
-1,560,0
-1,830,0
-1,1160,0
-1,380,0
1,650,0
1,1990,0
-1,5820,0
-1,1240,0
1,490,0
-1,2420,0
-1,860,0
-1,390,0
-1,290,0
-1,1050,0
1,1410,0
1,1820,0
1,2310,0
-1,2820,0
1,480,0
-1,1520,0
-1,670,0
-1,290,0
-1,560,0
-1,10620,0
1,1480,0
1,1100,0
-1,800,0
1,700,0
1,1060,0
1,830,0
1,1790,0
-1,1440,0
-1,1690,0
-1,720,0
-1,6060,0
-1,360,0
-1,3290,0
-1,340,0
-1,3670,0
-1,3050,0
-1,410,0
1,980,0
1,500,0
-1,940,0
1,1480,0
1,370,0
-1,270,0
1,840,0
1,1370,0
1,1420,0
-1,750,0
-1,1220,0
-1,890,0
1,320,0
1,1170,0
1,410,0
-1,2930,0
1,1650,0
-1,520,0
-1,1140,0
-1,840,0
1,1840,0
